STT,content
0,"Hình thức đẹp, còn nguyên màng co. Nội dung thì cũng là văn phong của Nguyễn Nhật Ánh trước giờ chứ không mới mẻ đâu. Là mình thì thấy không hay như truyện Quán gò đi lên hay Nữ sinh. Mình sưu tầm và đọc tất cả sách Nguyễn Nhật Ánh nên đáng mua lắm. Đặc biệt có vài câu thơ khá hay. dấu trang đẹp"
1,"Với mỗi tác phẩm của chú Nguyễn Nhật Ánh mình đều mong chờ sách xuất bản. Ở mỗi tác phẩm đều mang một cảm xúc riêng, một giọng kể riêng nhưng nó đều cho chúng ta thấy đó vẫn là văn phong của chú chỉ khác ở chỗ phong phú hơn, tuỳ theo mọi hoàn cảnh ngữ điệu sẽ khác nhau. Chú kể chuyện hấp dẫn có thể dẫn dắt suy nghĩ của con theo từng câu từng chữ trong đó."
2,"Tuổi thơ lớn lên cùng những cuốn truyện của Nguyễn Nhật Ánh. Đúng là sách của Nguyễn Nhật Ánh không chỉ dành cho trẻ con, mà còn dành cho những ai từng là trẻ con. Cực kì hài lòng về Tiki, giao hàng siêu nhanh, mình đặt mua lúc 23h30, trưa ngày hôm sau đã giao, đóng gói bảo đảm, chắc chắn."
3,"Truyện này của Nguyễn Nhật Ánh khác hẳn với những truyện khác, có lẽ là vì được xuất bản năm nay chăng? Mình vẫn luôn ấn tượng với cách viết sâu sắc về những chuyện tình giản dị đời thường của bác. Nhưng truyện này lên một tầm cao mới vì có một kết thúc bất ngờ khá đỉnh. Điều mình thích nhất là Nguyễn Nhật Ánh viết truyện ở trong ngôi kể của hai nhân vật chính một cách rất hoàn hảo, tách biệt hai nhân vật ra hẳn với nhau, mỗi người một dòng suy nghĩ, cho nên khi đọc tới bất ngờ kia làm mình vỡ òa trong sự ngạc nhiên khi nhận ra sự thật. Một tác phẩm thật sự đáng đọc! Sách còn siêu sang xịn mịn nữa chứ!"
4,"Truyện viết nhẹ nhàng, dí dỏm. Ngôn ngữ trong sạch, không độc hại. Phụ huynh an tâm khi cho con cái thành niên và vị thành niên đọc. Tuy nhiên không có gì đặc sắc và rất hiếm yếu tố bất ngờ. Đọc khúc trước đã biết được khúc sau. Kết thúc có hậu đến khó tin. Phù hợp để thư giãn"
5,"Sản phẩm sách như yêu cầu, bao bọc cẩn thận. Mình có ý kiến: Tiki khi chuyển cho bộ phận vận chuyển giao hàng nên ghi chú kỹ là giao đúng ngày giờ mà khách hàng yêu cầu hay trên phiếu đặt hàng Tiki hẹn để khách hàng sắp xếp nhận hàng, vì giao không đúng hẹn sẽ không có ngừoi ở nhà nhận hàng và trả tiền dùm"
6,"Đầu tiên là cảm ơn các bạn ở bộ phận tiếp nhận và giao hàng, các bạn làm việc nhanh chóng quá, tối thứ 7 đặt mà trưa chủ nhật đã có hàng, cảm động hết sức. Thứ 2 là đánh giá sách, sách hay, giấy đẹp, đọc rất thích. Cảm ơn Tiki về trải nghiệm tuyệt vời này."
7,"Giao hàng siêu nhanh luôn, đặt từ 10h trưa mà 3h chiều cùng ngày đã nhận được, tuy chưa mở ra đọc ( vì đang muốn giữ cho sách mới :((( ) nhưng cực kỳ thích, được tặng 6 thiệp cứng ( thích hợp để sống ảo 😭😭 )."
8,"Sách của bác Ánh thì không gì phải bàn nhiều rồi. Nội dung và hình thức rất chất lượng, bác như rót vào từng trang sách những giọt bình an và thanh khiết nhất, dễ làm bạn đọc say những giấc mơ nồng."
9,"Truyện của nhà văn Nguyễn Nhật Ánh thì không cần phải bàn cãi về chất lượng, chỉ từ Hay đến Rất hay. Tôi mua được sách ở mức giá 105K so với giá bìa 150K. Không thể hài lòng hơn với chất lượng của truyện và mức giá này."
