STT,content,sentiment
0,"Hình thức đẹp, còn nguyên màng co. Nội dung thì cũng là văn phong của nguyễn nhật ánh trước giờ chứ không mới mẻ đâu. Là mình thì thấy không hay như truyện Quán gò đi lên hay Nữ sinh. Mình sưu tầm và đọc tất cả sách nguyễn nhật ánh nên đáng mua lắm. Đặc biệt có vài câu thơ khá hay. dấu trang đẹp",0
1,"Với mỗi tác phẩm của chú Nguyễn Nhật Ánh mình đều mong chờ sách xuất bản. Ở mỗi tác phẩm đều mang một cảm xúc riêng, một giọng kể riêng nhưng nó đều cho chúng ta thấy đó vẫn là văn phong của chú chỉ khác ở chỗ phong phú hơn, tuỳ theo mọi hoàn cảnh ngữ điệu sẽ khác nhau. Chú kể chuyện hấp dẫn có thể dẫn dắt suy nghĩ của con theo từng câu từng chữ trong đó.",1
2,"Truyện này của nguyễn nhật ánh khác hẳn với những truyện khác, có lẽ là vì được xuất bản năm nay chăng? Mình vẫn luôn ấn tượng với cách viết sâu sắc về những chuyện tình giản dị đời thường của bác. Nhưng truyện này lên một tầm cao mới vì có một plot bất ngờ khá đỉnh. Điều mình thích nhất là nguyễn nhật ánh viết truyện ở trong ngôi kể của hai nhân vật chính một cách rất hoàn hảo, tách biệt hai nhân vật ra hẳn với nhau, mỗi người một dòng suy nghĩ, cho nên khi đọc tới bất ngờ kia làm mình vỡ òa trong sự ngạc nhiên khi nhận ra sự thật. Một tác phẩm thật sự đáng đọc! Sách còn siêu sang xịn mịn nữa chứ!",1
3,"Truyện viết nhẹ nhàng, dí dỏm. Ngôn ngữ trong sạch, không độc hại. Phụ huynh an tâm khi cho con cái thành niên và vị thành niên đọc. Tuy nhiên không có gì đặc sắc và rất hiếm yếu tố bất ngờ. Đọc khúc trước đã biết được khúc sau. Kết thúc có hậu đến khó tin. Phù hợp để thư giãn",0
4,"Mua sách ngay 11/11, hẹn 1 tuần có mà mới 1 ngày đã giao, rất nhanh(nhưng có thể có bạn không sx được vì hẹn 1 ngày giao 1 ngày, hì) . Sách đóng gói đẹp, trình bày đẹp. Chưa đọc nội dung, nhưng có xem YouTube, nên hy vọng sẽ thích",1
5,"Sách rất đẹp, giấy tốt,  giao hàng trong vòng chưa tới 1 ngày, bao gói lót xốp kĩ càng. Có điều ngày dự kiến giao khi đặt, ngày dự kiến sau giao sau khi tiếp nhận đơn và ngày giao thực tế chênh lệch nhau cả tuần lễ nên cũng hơi khó chịu vì mình muốn chủ động sắp xếp ngày ở nhà nhận hàng (dùng tikinow để chủ động quen rồi, nên vẫn thích mua các nướ có tikinow hơn)",0
6,"Sách đẹp, nhận được sách nhanh sau 1 ngày Tôi không hài lòng với khâu vận chuyển. Tôi không cần giao nhanh, tôi cần giao đúng thời gian. Tôi đặt sách ngày 10/11, ban đầu hẹn ngày 16/11 giao, sau đó đóng gói xong báo ngày 18/11 giao trong khi đơn đã báo đang vận chuyển. Tiki báo đơn này do fMàasha giao, fMàasha cập nhật. FMàasha báo đơn này do tiki dự phòng cập nhật lại. Tình trạng đơn hàng là để khách theo dõi chứ không phải để trưng bày. Tôi cần thời gian chính xác để sắp xếp nhận hàng chứ không phải là khi nào giao giao hàng gọi, anh không nhận được thì nhờ, không nhờ được thì hẹn lại",-1
7,"Do đơn này tôi đã báo huỷ, lần cuối cùng tôi gọi đến Tổng đài đã xác nhận với tôi đơn hàng này đã huỷ mà không hiểu sao chừng vài chục phút sau lại đem đến giao cho người nhà tôi? Trước đó, tôi đã gọi nhiều lần đến Tổng đài để phản ánh là tôi đăng kí mua sách này nhưng không thấy có chỗ đăng kí bảo vệ sách, do tôi huỷ đơn chậm nên không huỷ được, tôi được 1 nhân viên tổng đài báo tôi nên không nhận hàng và đăng kí lại có bảo vệ sách mà không giải thích rõ là do tôi đăng kí của , không phải của Tiki nên không có bảo vệ sách? Tôi không biết nên đăng kí lại cũng không có bảo vệ sách. Tôi gọi đên TĐI lần nữa báo huỷ đơn hàng và được nhân viên báo với tôi là đơn hàng tôi đã được báo hủy rồi, nhân viên Tổng đài báo xác nhận đã hủy nên tôi đã không dặn trước cho người nhà không nhận hàng, sau đó tôi đi vắng, chừng 30 phút sau, nhân viên giao hàng giao hàng tới, người nhà tôi không biết nên đã nhận và trả tiền! Sách tôi không có bảo vệ sách nên tôi không hài lòng!",-1
8,Giao hàng cực nhanh. 1 ngày là có. Mua ngày 11/11 còn được giảm giá rất nhiều. Đóng gói cẩn thận. Sách đẹp.,1
9,"Giao hàng nhanh. Đóng gói cẩn thận. Đúng là ngon rẻ đẹp, mình hài lòng. Nội dung sách thì chưa đọc nên không nhận xét, mình mua vì tò mò muốn xem thử chứ nếu so với môn tử vi thì chắc không thể chi tiết bằng.",1
10,Mình mua dùm 1 bạn nữ thất tình. Bạn đó tên là Thanh Đa. Bạn đó nói mua sách để bớt buồn nhưng mà sau khi sử dụng sách thì thấy rất áp lực. Bức hình bạn ấy tô là nói lên tương lai 2 người cùng nhau cố gắng nhưng đã chia tay. Giờ bạn ấy vừa uống bia vừa tô màu,-1
11,"Sách của anh Kulzsc cực kì nên mua luôn ạ! Các bức tranh trong đây siêu đáng yêu, giấy in thì dày dặn có thể tô được cả màu nước. Mà mình còn săn được bản đặc biệt nên là rất rất ưng luôn. rất khuyến khích mọi người mua cuốn sách này luôn á!!!",1
12,"Sách giao hơi chậm, đóng gói không chắc chắn mình không biết do quá trình vận chuyển hay sách đã bị quăn nếp gấp ở 2 đầu như vậy trước. Về sản phẩm mình khá thích tô màu và vẽ, sách này giúp mình cảm thấy như được tìm về với niềm đam mê hồi ấy :)) Cứ mỗi trang mở ra là 1 trang tô màu và 1 trích dẫn nhỏ.",0
13,"Cố tình chọn của Tiki trading đặt để sử dụng bảo vệ sách mà cuối cùng giao sách thô không hề được bao bọc gì. Sách bị tưa tưa chỗ các cạnh sách, bìa bị dính dơ. Chờ hơn cả tuần để nhận sách mà lại nhận về được sự ức chế. Quá thất vọng với tiki!!!",-1
14,Hàng giao nhanh mới hôm qua ua báo mà nay ra đã nhận được rồi nhưng vẫn hơi thất vọng vì các phần gáy sách và đầu trang bị cong 😢 nội dung trong sách vẫn nguyên vẹn và vô cùng đáng yêu tới từ anh kulzsc nên mình vẫn đáng giá 5* nhaaaaaa,0
15,Hình vẽ dễ thương lắm luôn. Tuy nhiên khi tô thì mặt sau bị lem nhưng không lem qua trang sau. Nên cũng yên tâm chút. Mình xài touchlit nên vậy á. Bút dạ bình thường của con nít thì không lem lắm đâu nhưng mà sẽ bị tróc giấy 1 xíu nếu tô nhiều lớp. Mình mới học thôi nên tô còn xấu 😂,0
16,"Tiki giao hàng nhanh lắm, nhân viên giao hàng cũng nhiệt tình nữa! Sách thì xinh khỏi bàn luôn, giấy dày, nhưng sách có chỗ hơi bẩn một tí ạ. Sách tô rất dễ với hình nhìn yêu nữa... Một buổi chiều ngồi nhâm nhi  và tô màu thì tuyệt zời luôn ấy!!! Mình mua đúng lúc bán ấy  nên rẻ kinh khủng. nói chung là nên mua nha cả nhà!!!!",1
17,"Sách của thần tượng thì không có gì phải bàn tán thêm rồi. Nhưng Tiki lần này khiến mình thất vọng. Đơn hàng này mình đặt 2 quyển với 2 bọc sách. Bên tiki trừ 2 trong số bọc sách đang có của mình rồi mà chỉ bọc 1 quyển, 1 quyển không bọc. Mình muốn giữ gìn quyển sách cẩn thận thì mới mua gói bảo vệ sách chứ ạ??? nhân viên giao hàng thì hối khách trong khi mình chỉ đi từ tầng 2 chung cư xuống sảnh. Đóng gói cũng lỏng lẽo chỉ có quyển sách trong hộp khá rộng, rất may sách mình không bị quăn góc như các bạn khác. Đánh giá 5 sao cho sách chứ Tiki lần này chì 1 sao thôi ạ.",-1
18,"Sách dày, siêu dễ thương, có thể tô bằng các loại màu nước như hay nè. Lúc giao thì Tiki không có lớp chống shock nên bìa cũng không được vuông vức 100% nhưng cũng ổn, giá lại rẻ nên cực kì hài lòng",-1
19,"4* cho chất lượng giấy, đây có thể là cuốn sách với giấy chất lượng nhất tôi từng mua, trong sách có nhiều trang được in màu, các trang cuối có hình và nhưng câu tóm tắt cô đọng. Nội dung thì 3* vì chưa hợp với tôi lắm, hoặc không như tôi kỳ vọng, có lẽ tôi ít đọc sách thể loại này, và do tôi là người không theo tôn giáo, mà tin vào khoa học nên những câu chuyện hay cách giải thích trong này chưa mang tính thuyết phục, Nhưng nếu có xu hướng về tâm linh cần có cái nhìn về lĩnh vực này một cách khách quan thì nên mua, đây không phải là cuốn sách hoàn toàn nói về tâm linh mà vẫn lồng ghép bằng chứng khoa học trong đó. ""Không có việc gì xảy ra do tình cơ hay do định mệnh. Chúng ta tạo ra số phận bằng những hành động của chính mình. Đó là quy luật của Vũ trụ"" ""Nhân quả đừng để thấy mới tin, nhân quả là bản chỉ đường, hướng con người về thiện lương""",0
20,"đoạn nhân vật chính gây nghiệp ác nên đầu thai thành hàng triệu con côn trùng làm mình bật cười, nhưng dù sao đây cũng là 1 lý thuyết đáng chú ý. Mình chụp mục lục và vài trang đầu cho các bạn nào cần vì tiki chưa có phần này",-1
