STT,content,sentiment
0,"Hình thức đẹp, còn nguyên màng co. Nội dung thì cũng là văn phong của NNA trước giờ chứ k mới mẻ đâu. Là mình thì thấy k hay như truyện Quán gò đi lên hay Nữ sinh. Mình sưu tầm và đọc tất cả sách NNA nên đáng mua lắm. Đặc biệt có vài câu thơ khá hay. Bookmark đẹp",0
1,"Với mỗi tác phẩm của chú Nguyễn Nhật Ánh mình đều mong chờ sách xuất bản. Ở mỗi tác phẩm đều mang một cảm xúc riêng, một giọng kể riêng nhưng nó đều cho chúng ta thấy đó vẫn là văn phong của chú chỉ khác ở chỗ phong phú hơn, tuỳ theo mọi hoàn cảnh ngữ điệu sẽ khác nhau. Chú kể chuyện hấp dẫn có thể dẫn dắt suy nghĩ của con theo từng câu từng chữ trong đó.",1
2,"Tuổi thơ lớn lên cùng những cuốn truyện của Nguyễn Nhật Ánh. Đúng là sách của Nguyễn Nhật Ánh không chỉ dành cho trẻ con, mà còn dành cho những ai từng là trẻ con. Cực kì hài lòng về Tiki, giao hàng siêu nhanh, mình đặt mua lúc 23h30, trưa ngày hôm sau đã giao, đóng gói bảo đảm, chắc chắn.",1
3,"Truyện này của NNA khác hẳn với những truyện khác, có lẽ là vì được xuất bản năm nay chăng? Mình vẫn luôn ấn tượng với cách viết sâu sắc về những chuyện tình giản dị đời thường của bác. Nhưng truyện này lên một tầm cao mới vì có một plot twist khá đỉnh. Điều mình thích nhất là NNA viết truyện ở trong ngôi kể của hai nhân vật chính một cách rất hoàn hảo, tách biệt hai nhân vật ra hẳn với nhau, mỗi người một dòng suy nghĩ, cho nên khi đọc tới twist kia làm mình vỡ òa trong sự ngạc nhiên khi nhận ra sự thật. Một tác phẩm thật sự đáng đọc! Sách còn siêu sang xịn mịn nữa chứ!",1
4,"Truyện viết nhẹ nhàng, dí dỏm. Ngôn ngữ trong sạch, không độc hại. Phụ huynh an tâm khi cho con cái thành niên và vị thành niên đọc. Tuy nhiên không có gì đặc sắc và rất hiếm yếu tố bất ngờ. Đọc khúc trước đã biết được khúc sau. Kết thúc có hậu đến khó tin. Phù hợp để thư giãn",0
5,"Sản phẩm sách như yêu cầu, bao bọc cẩn thận. Mình có ý kiến: Tiki khi chuyển cho bộ phận vận chuyển giao hàng nên ghi chú kỹ là giao đúng ngày giờ mà khách hàng yêu cầu hay trên phiếu đặt hàng Tiki hẹn để khách hàng sắp xếp nhận hàng, vì giao kg đúng hẹn sẽ kg có ngừoi ở nhà nhận hàng và trả tiền dùm",1
6,"Đầu tiên là cảm ơn các bạn ở bộ phận tiếp nhận và giao hàng, các bạn làm việc nhanh chóng quá, tối thứ 7 đặt mà trưa CN đã có hàng, cảm động hết sức. Thứ 2 là đánh giá sách, sách hay, giấy đẹp, đọc rất thích. Cảm ơn Tiki về trải nghiệm tuyệt vời này.",1
7,"Giao hàng siêu nhanh luôn, đặt từ 10h trưa mà 3h chiều cùng ngày đã nhận được, tuy chưa mở ra đọc ( vì đang muốn giữ cho sách mới :((( ) nhưng cực kỳ thích, được tặng 6 thiệp cứng ( thích hợp để sống ảo 😭😭 ).",1
8,"Sách của bác Ánh thì không gì phải bàn nhiều r. Nội dung và hình thức rất chất lượng, bác như rót vào từng trang sách những giọt bình an và thanh khiết nhất, dễ làm bạn đọc say những giấc mơ nồng.",1
9,"Truyện của nhà văn Nguyễn Nhật Ánh thì không cần phải bàn cãi về chất lượng, chỉ từ Hay đến Rất hay. Tôi mua được sách ở mức giá 105K so với giá bìa 150K. Không thể hài lòng hơn với chất lượng của truyện và mức giá này.",1
10,"Mua sách ngay 11/11, hẹn 1 tuần có mà mới 1 ngày đã giao, rất nhanh(nhưng có thể có bạn không sx được vì hẹn 1 ngày giao 1 ngày, hì) . Sách đóng gói đẹp, trình bày đẹp. Chưa đọc nội dung, nhưng có xem YouTube, nên hy vọng sẽ thích",1
11,"Sách rất đẹp, giấy tốt, Fahasa giao hàng trong vòng chưa tới 1 ngày, bao gói lót xốp kĩ càng. Có điều ngày dự kiến giao khi đặt, ngày dự kiến sau giao sau khi tiếp nhận đơn và ngày giao thực tế chênh lệch nhau cả tuần lễ nên cũng hơi khó chịu vì mình muốn chủ động sắp xếp ngày ở nhà nhận hàng (dùng tikinow để chủ động quen rồi, nên vẫn thích mua các NCC có tikinow hơn)",0
12,"Sách đẹp, nhận được sách nhanh sau 1 ngày Tôi không hài lòng với khâu vận chuyển. Tôi không cần giao nhanh, tôi cần giao đúng thời gian. Tôi đặt sách ngày 10/11, ban đầu hẹn ngày 16/11 giao, sau đó đóng gói xong báo ngày 18/11 giao trong khi đơn đã báo đang vận chuyển. Tiki báo đơn này do fahasha giao, fahasha cập nhật. Fahasha báo đơn này do tiki dự phòng cập nhật lại. Tình trạng đơn hàng là để khách theo dõi chứ không phải để trưng bày. Tôi cần thời gian chính xác để sắp xếp nhận hàng chứ không phải là khi nào giao ship gọi, anh không nhận được thì nhờ, không nhờ được thì hẹn lại",-1
13,"Mua từ nhà bán Fahasa trên Tiki: Sách đẹp, Fahasa đóng gói cẩn thận, có chèn mousse. Sale 11/11, tôi mua ngay, hẹn 1 tuần giao sách nhưng mới 1 ngày đã có hàng. Vì tôi có theo dõi Nhân số học qua YouTube của QH, nên mua sách để xem lại cho kỹ hơn. Shipper nhiệt tình, dễ mến. Tks Tiki và Fahasa.",1
14,"Mình có theo dõi kênh của cô Quỳnh Hương trên YouTube, tuy nhiên vẫn đợi ngày cô ra mắt cuốn sách này để mình có thể nghiên cứu kĩ càng hơn. Thật sự là rất bổ ích và thú vị khi nhận ra cuộc đời chúng ta xoay quanh những con số. Cám ơn cô Quỳnh Hương và ekip của cô đã cho ra đời cuốn sách này để mọi người biết nhiều hơn về Nhân số học!",1
15,"Do đơn này tôi đã báo huỷ, lần cuối cùng tôi gọi đến Tổng đài đã xác nhận với tôi đơn hàng này đã huỷ mà kg hiểu sao chừng vài chục phút sau lại đem đến giao cho ngừoi nhà tôi? Trước đó, tôi đã gọi nhiều lần đến Tổng đài để phản ánh là tôi đăng kí mua sách này nhưng kg thấy có chỗ đăng kí book care, do tôi huỷ đơn chậm nên kg huỷ được, tôi được 1 nhân viên tổng đài báo tôi nên kg nhận hàng và đăng kí lại có book care mà kg giải thích rõ là do tôi đăng kí của Fahasa, kg phải của Tiki nên kg có book care? Tôi kg biết nên đăng kí lại cũng kg có book care. Tôi gọi đên TĐI lần nữa báo huỷ đơn hàng và được nhân viên báo với tôi là đơn hàng tôi đã được báo hủy rồi, nhân viên Tổng đài báo xác nhận đã hủy nên tôi đã kg dặn trước cho ngừoi nhà kg nhận hàng, sau đó tôi đi vắng, chừng 30 phút sau, shipper giao hàng tới, ngừoi nhà tôi kg biết nên đã nhận và trả tiền! Sách tôi kg có book care nên tôi kg hài lòng!",-1
16,Giao hàng cực nhanh. 1 ngày là có. Mua ngày 11/11 còn được giảm giá rất nhiều. Đóng gói cẩn thận. Sách đẹp.,1
17,"Giao hàng nhanh. Đóng gói cẩn thận. Đúng là ngon rẻ đẹp, mình hài lòng. Nội dung sách thì chưa đọc nên không nhận xét, mình mua vì tò mò muốn xem thử chứ nếu so với môn tử vi thì chắc không thể chi tiết bằng.",1
18,"sách bên nhà cung cấp Fahsha giao siêu nhanh luôn, qua đặt nay có liền gói sách bằng phong bì giấy nhìn thân thiện môi trường",1
19,"Sách đẹp, theo dõi Cô Quỳnh Hương đã lâu, giờ mới sở hữu sách Nhân Số Học của Cô, để ngày càng hiểu rõ hơn những con số xung quanh ta.",1
20,Mình mua dùm 1 bạn nữ thất tình. Bạn đó tên là Thanh Đa. Bạn đó nói mua sách để bớt buồn nhưng mà sau khi sử dụng sách thì thấy rất stress. Bức hình bạn ấy tô là nói lên tương lai 2 người cùng nhau cố gắng nhưng đã chia tay. Giờ bạn ấy vừa uống bia vừa tô màu,-1
21,"Sách của anh Kulzsc cực kì nên mua luôn ạ! Các bức tranh trong đây siêu đáng yêu, giấy in thì dày dặn có thể tô được cả màu nước. Mà mình còn săn được bản đặc biệt nên là rất rất ưng luôn. Highly recommed mọi người mua cuốn sách này luôn á!!!",1
22,"Sách giao hơi chậm, đóng gói không chắc chắn mình không biết do quá trình vận chuyển hay sách đã bị quăn nếp gấp ở 2 đầu như vậy trước. Về sản phẩm mình khá thích tô màu và vẽ, sách này giúp mình cảm thấy như được tìm về với niềm đam mê hồi ấy :)) Cứ mỗi trang mở ra là 1 trang tô màu và 1 trích dẫn nhỏ.",0
23,"Xink xỉu luôn ấy, vừa đặt bữa thứ 5 mà thứ 6 đã có rồi, tưởng không xink nhưng xink không tưởng luôn ạ, mấy đứa bạn nhìn xink quá nên nó nhờ đặt hộ tới 8-9 quyển nữaaa, hi vọng sau này anh Kulzc sẽ có thêm nhiều quyển sách như này nữaa, thật sự lúc tô cảm thấy rất bình yên, thấy cuộc sống đẹp hơn nhiều luôn ấy 💙",1
24,"Cố tình chọn của Tiki trading đặt để sử dụng bookcare mà cuối cùng giao sách thô không hề được bao bọc gì. Sách bị tưa tưa chỗ các cạnh sách, bìa bị dính dơ. Chờ hơn cả tuần để nhận sách mà lại nhận về được sự ức chế. Quá thất vọng với tiki!!!",-1
25,Hàng giao nhanh mới hqua báo mà nay ra đã nhận đc rồi nhưng vẫn hơi thất vọng vì các phần gáy sách và đầu trang bị cong 😢 nội dung trong sách vẫn nguyên vẹn và vô cùng đáng iu tới từ anh kulzsc nên mình vẫn đáng giá 5* nhaaaaaa,0
26,Hình vẽ dễ thương lắm luôn. Tuy nhiên khi tô thì mặt sau bị lem nhưng ko lem qua trang sau. Nên cũng yên tâm chút. Mình xài touchlit nên vậy á. Bút dạ bình thường của con nít thì ko lem lắm đâu nhưng mà sẽ bị tróc giấy 1 xíu nếu tô nhiều lớp. Mình mới học thôi nên tô còn xấu 😂,0
27,"Tiki giao hàng nhanh lắm, shipper cũng nhiệt tình nữa! Sách thì xinh khỏi bàn lun, giấy dày, nhưng sách có chỗ hơi bẩn một tí ạ. Sách tô rất dễ với hình nhìn yêu nữa... Một buổi chiều ngồi nhâm nhi cafe và tô màu thì tuyệt zời luôn ấy!!! Mình mua đúng lúc sale í nên rẻ kinh khủng. Ncl nên mua nha cả nhà!!!!",1
28,"Sách của idol thì không có gì phải bàn tán thêm rồi. Nhưng Tiki lần này khiến mình thất vọng. Đơn hàng này mình đặt 2 quyển với 2 bọc sách. Bên tiki trừ 2 trong số bọc sách đang có của mình rồi mà chỉ bọc 1 quyển, 1 quyển không bọc. Mình muốn giữ gìn quyển sách cẩn thận thì mới mua gói bookcare chứ ạ??? Shipper thì hối khách trong khi mình chỉ đi từ tầng 2 chung cư xuống sảnh. Đóng gói cũng lỏng lẽo chỉ có quyển sách trong hộp khá rộng, rất may sách mình không bị quăn góc như các bạn khác. Đánh giá 5 sao cho sách chứ Tiki lần này chì 1 sao thôi ạ.",-1
29,"Sách dày, siêu cute, có thể tô bằng các loại màu nước như crayola supertips hay mildliner nè. Lúc giao thì Tiki ko có lớp chống shock nên bìa cũng ko được vuông vức 100% nhưng cũng Ok, giá lại rẻ nên cực kì hài lòng",-1
